Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
MH502,Law (options),465  ,,451,,442.0,410
MH601,Computer Science through Arts (options)           ,381  ,,352,,369.0,342
MH602,Computer Science through Science (options)        ,400  ,,351,,413.0,357
MH603,Computational Thinking                            ,520  ,,532,,543.0,520
MH801,Early Childhood - Teaching and Learning (part-time),AQA  ,AQA,327,,358.0,347
MH802,Community and Youth Work (part-time  in service)     ,,#,#,#,,#
MI001,Contemporary and Applied Theatre Studies          ,209  ,,375,,381.0,345
MI002,Arts (offered in conjunction with the University of Limerick),280  ,,300,281,378.0,300
MI004,Education - Primary Teaching - International,589  ,,577,,,
MI005,Education - Primary Teaching                      ,522  ,,495,,506.0,473*
MI006,Education - Primary Teaching - Gaeltacht Applicant,#485 ,,456,,473.0,#442
MI007,Early Childhood Care and Education                ,409  ,,357,,402.0,366
MI008,Education and Psychology - Primary Teaching       ,590  ,,588,,555.0,543
MI009,"Education, Business Studies and Accounting (Thurles Campus)",434  ,,402,,420.0,392
MI010,Education  Business Studies and Religious Studies ,370  ,,368,,355.0,326
MI011,Education  Gaeilge and Religious Studies          ,407  ,,409,,387.0,377
MI012,"Education, Irish and Business Studies (Thurles Campus)",387  ,,401,,440.0,398
MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",509  ,,444,,465.0,433
MI014,Education  Mathematics and Business Studies       ,476  ,,434,,,
MU001,Theology and Arts                                 ,294  ,294,290,290,318.0,290
MU002,Theology                                             ,,,440,,377.0,292
NC003,Computing (Degree Award options)                  ,271  ,,260,,316.0,261
NC005,Human Resource Management,301  ,,300,,320.0,297
NC009,Business                                          ,300  ,,300,,339.0,297
NC010,Psychology                                        ,420  ,,400,,399.0,366
NC020,Marketing Practice                                ,270  ,,280,,307.0,270
NC022,Accounting and Finance,330  ,,337,,376.0,338
NC023,Technology Management (with specialisations)      ,266  ,,261,,303.0,260
NC025,Data Science,,,,,371.0,297
NC030,Early Childhood Education and Care                ,251  ,251,,,,
NM701,Montessori Education,,,187,,,
NM801,Montessori Education,262  ,,220,,,
NM802,Psychology                                        ,228  ,,,,,
PC402,Arts and Humanities,,,200,121,,
PC404,Applied Social Studies - Professional Social Care,,,217,197,,
PC405,Social  Political and Community Studies           ,263  ,235,253,216,296.0,251
PC410,Arts and Humanities (fulfils Teaching Council requirements),262  ,230,252,209,289.0,203
PC411,English and History (fulfils Teaching Council requirements),243  ,224,255,209,289.0,168
RC001,Medicine - Undergraduate Entry (HPAT required),#741 ,#740*,733,,733.0,#729
RC004,Physiotherapy                                     ,589* ,589*,566,,542.0,532*
RC005,Pharmacy                                          ,613* ,613,579,,566.0,555
RC101,Medicine - Graduate Entry (GAMSAT required)          ,,,,,62.0,#60
SG102,Computing (Level 6 - General Entry),,,254,,,
SG134,Applied Sport with Business,,,215,,,
SG137,Computing (Computer Networks and Cloud Infrastructure),,,324,,,
SG141,Business                                          ,262  ,,261,,317.0,252
SG142,Business in International Marketing and Languages (French),,,279,,388.0,270
SG144,Business in International Marketing and Sales with Spanish,,,270,,388.0,280
SG145,Business and ICT                                  ,279  ,,,,,
SG146,Accounting                                        ,304  ,,309,,347.0,307
SG147,Sport with Business                               ,288  ,,307,,316.0,269
SG148,Tourism with Event Management                     ,298  ,,269,,282.0,246
SG149,Business in Finance and Investment,,,,,357.0,262
SG150,Business in Marketing                             ,298  ,,,,,
SG231,Fine Art,,,449,449,,
SG232,Creative Design,,,273,,,
SG235,Performing Arts (Theatre Design),,,319,,,
SG241,Performing Arts                                   ,341  ,,328,,348.0,279
SG242,Early Childhood Care and Education                ,287  ,,279,,318.0,278
SG243,Social Care Practice,309  ,,301,,338.0,297
SG244,Fine Art                                          ,#501 ,,505,,496.0,#355
SG245,Creative Design                                   ,332  ,,282,,338.0,261
SG246,Computing                                         ,316  ,,290,,368.0,295
SG247,English and Psychology,319  ,,309,,336.0,308
SG248,Sociology and Politics                            ,298  ,,281,,320.0,282
SG249,Writing and Literature                            ,308  ,,297,,338.0,279
SG250,Application Design and User Experience,,,412,,431.0,290
SG251,Computing (Smart Technologies),,,327,,391.0,303
SG252,Software Development,310  ,,307,,354.0,300
SG253,Computing in Computer Networks and Cyber Security ,336  ,,324,,341.0,273
SG254,Writing and Literature Online                     ,327  ,,225,225,,
SG255,Law and Business                                  ,291  ,,,,,
SG302,Construction Economics,,,184,,,
SG308,Applied Construction Technology,,,171,,,
SG338,Civil Engineering,,,245,,,
SG341,General Engineering                               ,373  ,,,,,
SG342,Civil Engineering                                 ,418  ,,415,,,
SG343,Quantity Surveying                                ,300  ,,311,,302.0,261
SG344,Mechanical Engineering                            ,412  ,,,,,
SG346,Construction Project Management and Applied Technology,313  ,,291,,351.0,289
SG347,Architecture,403  ,,360,,357.0,309
SG348,Interior Architecture and Design                  ,359  ,,316,,,
SG350,Robotics and Automation                           ,384  ,,,,,
SG401,Science,,,209,209,,
SG404,Environmental Science with Ecology (Level 6),,,264,264,,
SG406,Health and Exercise Science,,,367,,,
SG431,Pharmaceutical Science with Drug Development,,,269,,,
SG436,Biomedical Science,,,262,,,
SG441,Environmental Science,,,,,358.0,297
SG442,Occupational Safety and Health                    ,307  ,,290,,330.0,289
SG443,Human Nutrition                                   ,376  ,,356,,419.0,357
SG444,Science Undenominated                             ,358  ,,338,,369.0,308
SG445,Pharmaceutical Science with Drug Development,357  ,,311,,369.0,347
SG446,Applied Archaeology,,,,,290.0,289
SG447,Health Science and Physical Activity              ,326  ,,328,,363.0,316
SG448,Forensic Investigation and Analysis               ,308  ,,306,,348.0,306
SG449,Medical Biotechnology,315  ,,341,,352.0,329
SG450,Environmental Science with Ecology (Level 8),310  ,,300,,,
SG530,Health and Medical Information Science (Online),,,285,285,,
TA022,Creative Digital Media,,,,,318.0,260
TA023,Advertising and Marketing Communications,,,,,299.0,235
TA024,Early Childhood Care and Education,,,,,307.0,217
TA025,Social Care Practice,,,,,297.0,261
TA026,International Hospitality and Tourism Management,,,,,269.0,208
TA027,Botanical Cuisine,,,,,273.0,236
TA028,Digital Marketing Technologies,,,,,313.0,220
TA121,Accounting and Finance,,,,,328.0,202
TA122,Management,,,,,297.0,218
TA123,Marketing Management,,,,,284.0,207
TA125,International Business,,,,,300.0,229
TA221,Electronic Engineering,,,,,321.0,251
TA222,Mechanical Engineering,,,,,302.0,243
TA223,Sustainable Energy Engineering,,,,,305.0,236
TA224,Biomedical Design,,,,,324.0,218
TA225,Automation Engineering,,,,,288.0,235
TA226,Engineering Software,,,,,304.0,243
TA321,Pharmaceutical Science,,,,,298.0,261
TA322,Computing,,,,,294.0,200
TA323,Computing with IT Management,,,,,309.0,243
TA326,DNA and Forensic Analysis,,,,,362.0,300
TA327,Sports Science and Health,,,,,381.0,341
TA328,Computing with Language (French/German/Spanish),,,,,317.0,218
TA329,Computing with Data Analytics,,,,,296.0,218
TL620,Culinary Arts,,,189,189,,
TL651,Science (Biological and Environmental Studies),,,223,223,,
TL745,Civil and Environmental Engineering,,,261,261,,
TL748,Agricultural Science,,,249,,,
TL801,Animation Visual Effects and Motion Design,#718 ,,281,,341.0,281
TL802,TV  Radio and New Media (Level 8)                 ,322  ,,325,,356.0,306
TL803,Music Technology,,,,,288.0,264
TL810,Computing with Software Development               ,308  ,,310,,341.0,309
TL811,Computing with Games Development,322  ,,358,,334.0,310
TL812,Computing with Digital Media,,,,,369.0,369
TL815,Computing (Degree Award options)                  ,307  ,,308,,378.0,308
TL823,Event Management (3 year programme)               ,293  ,,299,,346.0,291
TL831,Business Studies (Major Specialism in: Acctng or M,306  ,,306,,372.0,307
TL844,Agricultural Engineering,301  ,,300,,368.0,311
TL845,Civil Engineering                                 ,361  ,,325,,364.0,300
TL847,Manufacturing Engineering                         ,305  ,,302,,,
TL848,Agricultural Science,307  ,,308,,362.0,331
TL851,Wildlife Biology (Degree Award options),309  ,,309,,362.0,310
TL855,Pharmaceutical Science (Degree Award options)     ,316  ,,317,,386.0,342
TL858,Veterinary Bioscience                             ,317  ,,308,,369.0,326
TL871,Health and Leisure (Degree Award options)         ,303  ,,300,,346.0,303
TL872,Health and Leisure with Massage,314  ,,309,,357.0,288
TL873,Coaching and Sports Performance,308  ,,289,,336.0,282
TL874,Inclusive Sport and Physical Activity             ,341  ,,,,,
TL880,Early Childhood Care and Education                ,309  ,,307,,347.0,307
TL881,Social Care,301  ,,308,,356.0,308
TL890,General Nursing and Mature Applicants,463  ,,440,414,431.0,407
TL891,Mental Health Nursing and Mature Applicants       ,440  ,419,389,378,379.0,367*
TR002,Music                                             ,508  ,477*,435,429,473.0,#414
TR003,History                                           ,552  ,543*,497,493,518.0,486
TR004,Law,590* ,589,566,565,552.0,532
TR005,Philosophy                                        ,510  ,497,442,,446.0,391
TR006,Psychology                                        ,601* ,590,567,555,577.0,555*
TR007,Clinical Speech and Language Studies              ,564* ,,529,,529.0,499
TR009,Music Education,#496 ,#486,420,,465.0,#430
TR012,History and Political Science,,,555,554,557.0,532*
TR015,Philosophy  Political Science  Economics and Socio,613* ,613*,589,,577.0,566
TR016,Deaf Studies                                      ,389  ,,340,,372.0,337
TR017,Law and Business,,,602,,589.0,576
TR018,Law and French,602* ,602,565,,554.0,532*
TR019,Law and German                                    ,577  ,567,543,542,555.0,523
TR020,Law and Political Science,,,602,,600.0,567
TR021,"Classics, Ancient History and Archaeology",467  ,462,370,,495.0,377
TR022,Early and Modern Irish,377  ,,398,,407.0,347
TR023,English Studies,546  ,541*,487,476,511.0,463
TR024,European Studies                                  ,566  ,,544,542,544.0,520
TR025,Drama and Theatre Studies                         ,#543 ,#519,564,530,531.0,#489
TR028,Ancient and Medieval History and Culture          ,498  ,463,342,,451.0,339
TR029,Political Science and Geography,,,526,520,500.0,477
TR031,Mathematics,579  ,578,531,,589.0,566
TR032,Engineering                                       ,556  ,555,510,509,520.0,487*
TR033,Computer Science                                  ,566* ,549,509,,488.0,465*
TR034,Management Science and Information Systems Studies,625* ,625*,613,,602.0,589*
TR035,Theoretical Physics,590  ,589*,543,,601.0,554
TR038,Engineering with Management                       ,589* ,589*,532,,543.0,499
TR039,Computer Science  Linguistics and a Language      ,443  ,,454,424,498.0,435
TR040,Middle Eastern and European Languages and Cultures,520  ,499,466,,518.0,485
TR041,Religion,417  ,,368,,393.0,347
TR042,Film                                              ,531  ,522,489,476,,
TR043,History of Art and Architecture                   ,498  ,486,393,354,,
TR051,Medicine (HPAT required)                          ,#743*,#743*,735,734,739.0,#730
TR052,Dental Science,625* ,625*,613,613,602.0,590*
TR053,Physiotherapy,590* ,,566,566,544.0,533*
TR054,Occupational Therapy                              ,578* ,577*,533,,520.0,500
TR055,Radiation Therapy                                 ,577  ,566,543,,521.0,510
TR056,Human Health and Disease                          ,601* ,,565,,565.0,543
TR060,Biological and Biomedical Sciences,578* ,577*,543,543,542.0,510*
TR061,Chemical Sciences                                 ,558  ,554*,517,510,520.0,488*
TR062,Geography and Geoscience                          ,495  ,,473,,485.0,435
TR063,Physical Sciences                                 ,554  ,543,498,498,543.0,498*
TR064,Environmental Science and Engineering             ,555  ,,,,,
TR072,Pharmacy,613* ,613*,590,,577.0,555*
TR080,Global Business                                   ,613* ,,589,,577.0,565
TR081,Business  Economic and Social Studies (BESS)      ,577  ,567*,543,543,542.0,518*
TR082,Computer Science and Business,,,555,,542.0,510
TR083,Sociology and Social Policy,,,498,487,474.0,451
TR084,Social Studies (Social Work),497  ,487*,462,,462.0,420*
TR085,Business Studies and French                       ,564  ,,540,531,553.0,509
TR086,Business Studies and German                       ,530  ,,509,499,495.0,474
TR087,Business Studies and Russian,487  ,,474,465,487.0,467
TR089,Business Studies and Polish,391  ,,444,424,434.0,393
TR090,Business Studies and Spanish,566  ,,531,,543.0,510
TR091,General Nursing (Meath and St James`s)            ,462  ,456*,429,,420.0,393*
TR093,General Nursing (Adelaide School of Nursing)      ,#473 ,,430,429,409.0,#378*
TR095,Mental Health Nursing                             ,442  ,,408,,377.0,358
TR097,Intellectual Disability Nursing,412  ,410,396,,350.0,346
TR111,Ancient History and Archaeology/Geography,,,352,,,
TR112,Ancient History and Archaeology/History,,,529,,,
TR117,Ancient History and Archaeology/Religion,,,342,,,
TR166,Classical Civilisation/English Literature,,,498,496,,
TR173,Classical Civilisation/History of Art and Architecture,,,335,,,
TR179,Classical Civilisation/Philosophy,,,499,,,
TR198,Economics/Geography,,,534,,,
TR207,Economics/Mathematics,,,566,,,
TR228,Classical Languages/English Literature,,,498,,,
TR231,Classical Languages/History of Art and Architecture,,,349,,,
TR263,English Literature/History of Art and Architecture,,,498,497,,
TR276,English Literature/Drama Studies,,,#498,,,
TR277,English Literature/Modern Language,,,498,495,,
TR311,Film/Drama Studies,,,#521,,,
TR312,Film/English Literature,,,521,,,
TR323,Drama Studies/Modern Language,,,#473,,,
TR455,History of Art and Architecture/Modern Language,,,334,,,
TR636,Music/Modern Language,,,388,,,
TR667,French/Modern Language,,,403,,,
TR668,German/Modern Language,,,389,,,
TR669,Irish/Modern Language,,,368,,,
TR670,Italian/Modern Language,,,381,,,
TR672,Spanish/Modern Language,,,336,,,
TR801,Dental Nursing,,,436,419,,
TR802,Dental Hygiene,,,#543,#511,,
TR803,Dental Technology,,,#531,#486,,
TR911,Children`s and General Nursing (Integrated)       ,531* ,,511,510,487.0,476*
TR913,Midwifery                                         ,521  ,,478,477,462.0,423
TU603,Mechanical Engineering,,,197,197,,
TU642,Culinary Arts,,,153,,,
TU651,Applied Biology,,,205,196,,
TU652,Computing,,,194,,,
TU655,Computing (Networking Technologies) Learn and Work,,,410,335,,
TU672,Business (Common entry),,,180,179,,
TU702,Biomedical Design,,,232,232,,
TU707,Electronic Engineering,,,224,224,,
TU709,Engineering (General Entry),,,370,,,
TU713,Computer Engineering,,,221,,,
TU718,Mechanical Engineering,,,198,198,,
TU721,Aviation Technology,,,350,,,
TU722,Process Instrumentation and Automation Learn and Work,,,292,292,,
TU732,Timber Product Technology,,,253,198,,
TU736,Sports Science and Health,,,410,391,,
TU742,Culinary Arts,,,155,155,,
TU747,Tourism Management,,,242,,,
TU751,Biosciences,,,407,,,
TU752,DNA and Forensic Analysis,,,390,,,
TU756,Computing,,,200,195,,
TU759,Information Technology Management,,,211,,,
TU760,Bioanalysis,,,204,204,,
TU761,Ophthalmic Dispensing,,,302,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,,,364,,,
TU763,Pharmaceutical Science,,,382,349,,
TU772,Business (Common Entry with Award options),,,AQA,227,,
TU774,Management,,,195,209,,
TU776,Accounting and Finance,,,182,175,,
TU792,Community and Youth Development,,,101,250,,
TU794,Early Childhood Care and Education,,,390,250,,
TU795,Visual Merchandising and Display,,,481,,,
TU801,Sustainable Energy Engineering                    ,235  ,,235,,,
TU802,Electrical Services and Energy Management         ,309  ,,317,300,,
TU803,Electronic Engineering,,,243,243,,
TU804,Engineering (Common Entry with Award options)     ,270  ,,271,,,
TU805,Engineering (General Entry)                       ,466  ,465,402,,,
TU807,Computer Engineering in Mobile Systems            ,274  ,,276,,,
TU808,Engineering Software,,,260,260,,
TU810,Mechatronic Engineering                           ,271  ,,270,,,
TU811,Product Design                                    ,440  ,434,411,,,
TU812,Design Technology and Innovation                  ,278  ,,270,,,
TU813,Automation Engineering,,,218,218,,
TU814,Sustainable Transport Management                  ,253  ,253,285,251,,
TU828,Mechanical Engineering (General Entry)            ,300  ,,,,,
TU829,Electronic Engineering (General Entry)            ,248  ,248,,,,
TU831,Architectural Technology,423  ,,410,,,
TU832,Architecture (Suitability Test and Interview)     ,#644 ,#638,622,,,
TU833,Construction Management                           ,396  ,,367,,,
TU834,Geographic Science                                ,315  ,,288,,,
TU835,Planning and Environmental Management             ,330  ,,313,,,
TU836,Property Economics (Valuation Surveying)          ,411  ,,401,,,
TU837,Quantity Surveying and Construction Economics,413  ,,385,,,
TU838,Sustainable Timber Technology                     ,307  ,271,,,,
TU851,Analytical Chemistry (Environmental  Forensic and ,400  ,,349,,,
TU852,Chemical Sciences with Medicinal Chemistry        ,477  ,,476,,,
TU854,Science (General Entry)                           ,510  ,,476,,,
TU855,Science with Nanotechnology                       ,322  ,,331,319,,
TU856,Computer Science                                  ,499  ,,476,,,
TU857,Computer Science (Infrastructure),403  ,,391,,,
TU858,Computer Science (International)                  ,395  ,,377,,,
TU859,Computing                                         ,251  ,,217,234,,
TU860,Computing (Information Technology)                ,270  ,,260,,,
TU861,Computing with Language (French/German/Spanish)   ,235  ,235,308,308,,
TU862,Computing with Artificial Intelligence Machine Lea,262  ,,226,226,,
TU863,Digital Forensics and Cyber Security,282  ,,280,,,
TU864,DNA and Forensic Analysis,500  ,441,400,390,,
TU865,Cloud Computing                                   ,235  ,,226,,,
TU866,Biomedical and Molecular Diagnostics              ,522  ,,487,,,
TU867,Biomedical Science                                ,576  ,566*,524,,,
TU868,Clinical Measurement Science                      ,542  ,,510,,,
TU869,Environmental Health                              ,387  ,,336,,,
TU870,Human Nutrition and Dietetics,601* ,,578,,,
TU871,Optometry                                         ,532  ,,509,,,
TU872,Public Health Nutrition                           ,487  ,,491,,,
TU873,Industrial Mathematics,,,250,250,,
TU874,Mathematical Sciences                             ,294  ,294,341,,,
TU875,Pharmaceutical Healthcare                         ,451  ,,400,,,
TU876,Pharmaceutical Science,445  ,,377,349,,
TU877,Physics Technology,314  ,314,308,,,
TU878,Physics with Energy and Environment               ,339  ,,337,337,,
TU879,Physics with Medical Physics and Bioengineering   ,346  ,,351,,,
TU880,Physics with Data Science                         ,412  ,,578,,,
TU881,Food Innovation                                   ,309  ,,318,,,
TU882,Nutraceuticals in Health and Nutrition            ,380  ,,397,,,
TU903,Business and Management                           ,477  ,,463,,,
TU904,Business and Law                                  ,462  ,,462,,,
TU905,Economics and Finance                             ,460  ,,465,,,
TU906,Human Resource Management                         ,386  ,377,395,,,
TU907,Logistics and Supply Chain Management             ,300  ,,300,,,
TU908,Management,,,262,253,,
TU909,Accounting and Finance,,,285,,,
TU910,Accounting                                        ,420  ,,444,,,
TU911,Accounting and Finance,,,209,192,,
TU912,Business Analytics                                ,331  ,311,330,,,
TU914,Business Computing                                ,322  ,,324,,,
TU916,International Business,,,235,235,,
TU917,Law (LLB ) with a Language                        ,356  ,,342,,,
TU918,Law (LLB),463  ,,451,,,
TU919,Advertising and Marketing Communications          ,219  ,,228,226,,
TU920,Digital Marketing                                 ,270  ,,270,,,
TU921,Digital Marketing Technologies                    ,230  ,,212,212,,
TU922,Marketing                                         ,412  ,,418,,,
TU923,Marketing Management,,,228,276,,
TU924,E-Commerce in Retailing                           ,307  ,,307,,,
TU925,Retail and Services Management,307  ,,301,,,
TU932,Business (options)                                ,211  ,,,,,
TU933,Accounting and Finance (campus options)           ,251  ,,,,,
TU936,Sports Science and Health                         ,484  ,,410,391,,
TU941,Botanical Cuisine                                 ,311  ,,249,,,
TU942,Culinary Arts                                     ,252  ,,212,212,,
TU943,Culinary Entrepreneurship,261  ,,278,,,
TU944,Culinary Science                                  ,336  ,,316,,,
TU951,International Hospitality and Tourism Management  ,244  ,,184,184,,
TU952,International Hospitality Management              ,309  ,,300,,,
TU953,Tourism and Digital Marketing                     ,308  ,,290,,,
TU954,Event Management                                  ,326  ,,356,,,
TU955,Sports & Leisure Management,275  ,,217,317,,
TU961,Commercial Modern Music,#536 ,#536,608,608,,
TU962,Drama (Performance  audition)                     ,#448 ,,379,,,
TU963,Music (audition)                                  ,#364 ,,416,,,
TU965,International Business and Languages              ,357  ,,356,346,,
TU966,Languages and English Studies,,,366,,,
TU967,Languages and International Tourism               ,298  ,,308,,,
TU973,Design - Visual Communication,#700 ,,717,,,
TU974,Fine Art (portfolio)                              ,#549 ,,709,563,,
TU975,Interior Design (portfolio)                       ,#544 ,,632,,,
TU976,Photography (portfolio)                           ,#700 ,,695,,,
TU978,Creative Industries and Visual Culture            ,299  ,,,,,
TU981,Creative Digital Media                            ,280  ,,280,,,
TU982,Creative Digital Media,369  ,,320,311,,
TU983,Film and Broadcasting,462  ,453,456,451,,
TU984,Game Design                                       ,414  ,,381,,,
TU985,Journalism                                        ,367  ,,322,,,
TU989,Early Childhood Care and Education (campus options,270  ,,,,,
TU991,Applied Social Studies in Social Care             ,326  ,,325,,,
TU992,Community Development and Youth Work              ,251  ,,251,,,
TU994,Early Childhood Care and Education,,,321,251,,
TU995,Early Childhood Education,378  ,,367,,,
TU996,Social Care                                       ,407  ,,400,,,
TU997,Applied Social Care                               ,320  ,,310,283,,
WD001,Applied Computing (options)                       ,270  ,261,260,260,358.0,279
WD002,Science (options)                                 ,279  ,,308,,377.0,302
WD003,Business,,,AQA,171,,
WD005,Health Sciences (options),271  ,,280,,347.0,288
WD006,Exercise Sciences (options)                       ,270  ,,280,,337.0,282
WD007,Engineering (options)                             ,270  ,270,288,288,382.0,287
WD019,Recreation and Sport Management,,,174,,,
WD025,Construction Management and Engineering           ,262  ,,269,,327.0,269
WD027,Music                                             ,#321 ,,262,,317.0,#290
WD048,Business (options)                                ,279  ,,271,,357.0,278
WD084,Accounting,308  ,,308,,403.0,307
WD091,Hospitality Management                            ,225  ,,228,,281.0,210
WD094,Architectural Technology,,,166,150,,
WD116,General Nursing                                   ,446  ,,422,,430.0,413
WD117,Psychiatric Nursing,415  ,,366,,382.0,361
WD120,Intellectual Disability Nursing                   ,390  ,,377,,359.0,338
WD126,Agriculture,,,327,,,
WD134,International Business                            ,267  ,,290,,350.0,289
WD137,Design (Visual Communications)                    ,252  ,,271,,373.0,253
WD140,Laws,280  ,,280,,352.0,290
WD144,Architecture                                      ,309  ,,284,,385.0,283
WD147,Pharmaceutical Science                            ,288  ,,293,,363.0,298
WD148,Tourism Marketing,,,,,338.0,269
WD149,Early Childhood Studies,,,271,,336.0,288
WD150,Criminal Justice Studies,280  ,,270,,311.0,271
WD152,Visual Art                                        ,243  ,,AQA,,323.0,253
WD161,Computer Forensics and Security                   ,270  ,,255,,401.0,262
WD162,Quantity Surveying,226  ,,216,,320.0,260
WD163,Psychology                                        ,456  ,,434,,429.0,390
WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",,,222,,,
WD186,Sports Coaching and Performance                   ,261  ,,270,,327.0,276
WD187,Social Science                                    ,276  ,,272,,321.0,271
WD188,Applied Health Care,,,201,,,
WD191,Agricultural Science                              ,377  ,,377,,421.0,378
WD192,Social Care Practice,271  ,,270,,323.0,279
WD193,Marketing and Digital Media                       ,279  ,,271,,358.0,290
WD194,Culinary Arts                                     ,237  ,,217,,331.0,235
WD195,Architectural and Building Information Modelling T,279  ,,279,,305.0,266
WD200,Arts (options),201  ,201,AQA,AQA,296.0,221
WD206,Electronic Engineering,,,179,,,
WD210,Software Systems Development                      ,260  ,,279,,329.0,271
WD211,Creative Computing                                ,270  ,,271,,322.0,275
WD212,Recreation and Sport Management,262  ,,270,,311.0,274
WD230,Mechanical and Manufacturing Engineering,230  ,230,253,,348.0,273
WD231,Early Childhood Care and Education                ,266  ,,,,,
